मसूरी	ma suu rii
सेनानियों	sei naa ni yoon
तु	tu
कफन	ka phan
इनके	in kei
विशेषज्ञों	vi shei shhag yoon
इनकी	in kii
अपको	ap koon
सीनीयर	sii nii yar
गुजिया	gu ji yaa
तो	toon
वेनी	vei nii
दयानंद	da yaa nand
इनको	in koon
जेआरडीटाटा	jei ra d:ii tit
उद्देश्य	ud deishy
सर्वात्तम	sar voot tam
थाइलैंड	thaai laind
उपलब्धता	u pa lab dha taa
दाद	daad
हँसाने	han saa nei
अभिवाहकों	a bhi bhaa va koon
सेकेंडो	sei kein d:oon
रास्ते	raas tei
दवाएँ	da vaaein
पैदा	pai daa
बपिस्टा	ba pis t:aa
रमजान	ram jaa na
फाइबर	phaai bar
अनसुनी	an su nii
कताई	ka taaii
देवनागिरी	deiv naag rii
अश्वेत	ash veit
वक्ता	vakt
नागरिक	naa ga rik
वक्त़	vak taa
पक्ष	pakshh
घोड़ें	ghoo dei
घटायेगा	gha t:aaei gaa
जिलों	ji loon
अब्रॉड	ab raad
पनडुब्बियों	pan dub bi yoon
जिम्मेवार	jim mei vaar
वेल्लोर	veil luur
बेहद	bei had
बैकग्राउंड	baik graund:
ट्रिस्ट	t:rist:
मिट्टी	mit: t:ii
अज्ञातवास	ag yaat vaas
ठहरते	tha har tei
नारंगी	naa ran gii
केएफरुस्तम	kei fa rus tam
राजगद्दी	raaj gad dii
तुज़	tuj
लहराये	la ha raa yei
बीता	bii taa
घटाएगा	gha t:aaei gaa
बाधाओं	baa dhaa dhoon
पौधें	pau dhein
अक्ष	akshh
बॉलकनी	baal ka nii
माताएँ	maa taaein
अस्वस्था	as vasth
वजन	va jan
पुत्र	putr
बोनस	boo nas
कचरों	kach roon
रंगाई	ran gaaii
नारो	na roon
जकङन	ja ka dan
नारे	naa rei
केबारे	kei baa rei
नारी	naa rii
उगते	u ga tei
अंतहीन	an ta hii na
पाँचवें	paan chvei
एल्डस	eildds
उत्थान	ut thaan
ब्राह्मी	braah mii
पिस्तौल	pis taul
एप्पल	aip pil
निष्पक्षता	nishh pak shhtaa
कृषि	kri shhi
कक्षाएं	kak shhaaein
स्टरलिंग	st:ar ling
फ्रैंकाइस	phrain kaais
विषयवस्तु	vi shhay vas tu
जांच	jaanch
पिल्ला	pil la
सोलटम	sool t:am
कपकपाते	kap ka paa tei
त्रिवेणी	tri vei n:ii
सलाद	sa laad
अत्यंत	at yant
गिरफ्त	gi rapht
सलाम	sa laam
खींचते	khiin chtei
समावेशी	sa maa vei shii
जैक्सट्रैप	jaik streip
लम्बे	lam bei
तेजी	tei jii
लिलि	li li
सलाह	sa laah
साईबर	saaii bar
कटक	ka t:ak
न्यूट्रीयस	nyuut: rii yas
परिवोश	pa ri veish
देवा	dei vaa
प्रधानमंतारी	pra dhaan man tri
कचरो	kach roon
मोहम्द	mooh mad
कचरे	kach rei
प्रदर्शनियों	pra dar sha ni yoon
त्रिपुरा	tri pu raa
जबतक	jab tak
रंचनाबली	rach naam ba lii
शराबे	sha raa bei
मनमोहक	man moo hak
जिन्हें	jin hein
रंगो	ran goon
सख्त	sakht
मरते	mar tei
सुबह	su bah
उद्यान	ud yaan
रिहाई	ri haaii
संयुक्त	san yukt
जिद्द	jidd
एमआईसी	ei mai sii
सिटींग	si t:iing
मुस्लिमों	mus li moon
स्क्वायर	
रखेंगें	ra khein gein
मनमोहन	man moo han
घटाता	gha t:aa taa
बूझ	buujh
पाठ्य	paat:hy
देश़र	dei shar
राइट	raait:
रंगबिरंगे	ran ga bi ran gei
बीपी	bii pii
आरोपी	aa roo pii
क्राइस्ट	kraaist:
आधुनिकता	aa dhu nik taa
आठवें	aath vein
मट्ठा	mat: t:haa
सुर्ती	sur tii
बांग्ला	ban gaal
ढ़ंगों	d:han goon
जेरादेई	jei ra dei
चैंपियन	chaim pi yan
भूखी	bhuu khii
उमंग	u mang
ज्येष्ठ	jyeishht:h
कैल्सियम	kail si yam
पॉफ्फ	paphph
चुकाने	chu kaa nei
आईकेगुजराल	aai kei guj raal
धर्मनिष्ठ	dhar ma nisht:h
गति	ga ti
खदान	kha daan
जमींदारी	ja miin daa rii
शरारती	sha raar tii
सुधारते	su dhaar tei
पाढ	paad:h
वर्ने	var nei
शिवम्	shi vam
दबें	da bein
अनपढ़ों	a na pa d:hoon
पियानो	pi yaa noon
कार्पोरेशन	kaar poo rei shan
क्लेम	kleim
सख्ती	sakh tii
बैडोल	bai d:ool
प्राख्यात	prakh yaat
पॉपकॉर्न	paap karn
इंटरमीडियेट	in t:ar mii d:i yeit:
कैदी	kai dii
कार्रवाही	kaar ya vaa hii
सज्जित	saj jit
अमरनाथ	a ma ra naath
इस्लामी	is laa mii
मंचन	man chan
लड़नें	lad: nei
नूडल्स	nuu d:als
आइवरी	aai va rii
हैमिल्टन	hai mil t:an
डिजिटिग्रेड	di ji t:ig reid:
चुनने	chu na nei
गणना	ga n:a naa
आँसु	aan suu
हिन्दूस्तान	hin dus taan
ताँगे	taan gei
डंका	d:an kaa
कौशिक	kau shik
चेंज़	cheinj
काली	kaa lii
अर्पण	ar pan:
वच्छावाली	vach chha vaa lii
सबकों	sab koon
राक्षस	raak shhas
प्रणाम	pra n:aam
छात्रों	chhaat roon
रिपार्ट	ri paart:
कनपटी	kan pa t:ii
रहें	ra hein
मैट्रिकुलेशन	mait: ri ku lei shan
सुने	su nei
राधकृष्णन	raa dhak rish n:an
सुनो	su noon
अवस्था	a vas thaa
अनुभुति	a nu bhuu tii
दबाव	da baav
पाइलेट	paai lat:
राक्षक	raak shhak
पाँडीचेरी	paan d:ii chei rii
उल्टा	ul t:aa
पटरियों	pat: ri yoon
सोखता	sookh taa
अधिनियमों	a dhi ni ya moon
इडली	id: lii
बृहस्पतिवार	bra has pa ti vaar
क्षति	kshha ti
डण्डे	d:an d:ei
सुन्दरम्	sun da ram
भेज	bheij
औसतन	au sa tan
सगाई	sa gaaii
असफलता	a sa phal taa
रह	rah
कमरुद्दीन	ka ma rud diin
दफनाये	daph naa yei
अहर्ताओं	a har taaoon
खलबली	khal ba lii
रेशा	rei shaa
मतदान	mat daan
बनाएगा	ba naaei gaa
भेष	bheish
खिचाव	khi chaav
लहुलुहान	la hu haan
एअरपोर्ट	eiar poort:
वाह्य	vaahy
बिंदी	bin dii
गेहूं	gei huu
एनजीगणपुले	i na gag yaa piig
सोचती	sooch tii
आस्ट्रेलिया	aas t:rei li yaa
संघटकों	san gha t:a koon
सूखी	suu khii
हटाती	ha t:aa tii
डेफिशियेंसी	d:ei phi shiein sii
हटाते	ha t:aa tei
मीठे	mii t:hei
संगोष्ठियों	san goon shhthiy
मानसी	maan sii
सुखनिधन	sukh ni dhann
सेवों	sei voon
बख्शी	bakh shii
गुजरे	guj rei
कैन	kain
चाहेगा	chaa hei gaa
धुन्ध	dhundh
सुब्रह्यैया	sub ha hayy
सेल्सियस	seil si yas
पोखरण	poo kha ran:
आभियानों	aa bhi yaa noon
उपलब्ता	
गोकुल	goo kul
कंसल्टेंसी	kan sal t:einsii
तेलों	tei loon
कैन्हया	kan haiy yaa
बनाऊँगी	ba nauun gii
पोखरन	poo kha ran
नाट्य	naat:y
हेलन	hei lan
जबाब	ja vaab
चार्ल्स	chaarls
पीएं	piiein
कूदना	kuud naa
खूनियों	khuu ni yoon
आक्रमकता	aak ra mak taa
दुखी	du khii
रोपना	roo pa naa
प्राथिमक	praa tha mik
टिप्पणी	t:ip pa n:ii
जैविकरुप	jai vik ruup
बताएँ	ba taaein
कारों	kaa roon
रुद्र	rudr
हबीबुर्रहमान	ha biib rah maan
जबाव	ja vaab
वंसत	va sant
मानियेन	maa ni yein
मैदानों	mei daa noon
सेहु	sei huu
परिवार	pa ri vaar
बेहोश	bei hoomsh
लक्ष्मीबाई	lak shmii baaii
सीखनी	siikh nii
क्रूरताओं	kruur taoon
बैट्रियों	bait: ri yoon
रास्तों	raas toon
कौंडा	kaun d:aa
तंददुरुस्त	tan du rust
हितेश्वर	hi teish var
लिंगाय़त	lin gaa yaat
सर्टिफिकेट	sar t:i phi keit:
छुटकारा	chhut: kaa raa
बांटते	baan t:tei
प्रदुषण	pra duu shhan:
टेनिस	t:ei nis sii
साझा	saa jhaa
महारे	ma haa rei
कद्र	kadr
भजनों	bha ja noon
पारान	paa raan
बिल्डरों	bil d:a roon
हिलेरी	hi lei rii
खाड़ी	khaa d:ii
वेंकैया	vein kaiyya:
सिंहासन	sin haa san
अक्षय	akshhy
सुस्त	sust
क़ाजी	ka jii
लड़ो	la d:oo
ऋतु	rxi tu
राष्टीय	raashh t:rii ya
थाली	thaa lii
वायुमण्डल	vaa yu man d:al
ऊँचे	uun chei
कमलादेवी	kam laa dei vii
पल्लै	pal lai
छिड़का	chhid: kaa
ऊँची	uun chii
गज़ब	ga jab
राबर्ट	raa bart:
सुनामी	su naa mii
उपलब्ध	u pa labdh
हॉकी	ha ki
स्ट्रींगर	st:riin gar
दूसरों	duus roon
उल्लेखित	ul lei khit
याचना	yaa cha naa
शचीन्द्र	shiin char dii
साक्षात्कार	saak shhaat kaar
उपलब्झ	u pa labjh
अजित	a jit
बनयान	ba na yaa na
उत्तीर्ण	ut tiirn:
प्राइमरी	praai ma rii
दानी	daa nii
दाने	daa nei
प्रों	proon
रेलवे	rei la vei
अनभिज्ञ	a na bhig yaa
छूटी	chhuu t:ii
गेट्स	geit:s
प्रकार	pra kaar
घंटो	ghan t:oon
पाँचों	paan choon
लोप	loop
इलाकों	i laa koon
सुरछित	sur chhit
फ्रॉक	phraak
ईद	iid
हौसलों	hau sa loon
अविष्कार	aa vishh kaar
रेकथाम	rook thaam
बाल्यकाल	baal ya kaal
सेनाओं	sei naaoon
पृथक	prxi thak
सद्भाव	sad bhaav
जाली	jaa lii
रुचिकर	ru chi kar
सीको	sii koon
जला	ja laa
निशा	ni shaa
भाभा	bhaa bhaa
प्रान्त	praant
पर्दें	par dein
बेचने	beich nei
पूर्वधारणा	puur var dhaar n:aa
सैक्स	saiks
डब्ल्यूईडी	d:ab lyuu d:ii
प्यूपिल	pyuu pil
शासकीय	shaas kii ya
करीबियों	ka rii bi yoon
एसएचई	a sei chei
आपकी	aa pa kii
बिल्डर्स	bil d:ars
अनानास	a naans
मुंह	muh
ईट	iit:
आपको	aap koo
गहराई	ga ha raaii
कर्त्तव्यो	kar ttav yoon
लक्षण	lak shhan:
दवारा	dvaa raa
मूल्य	muuly
खेडा	khei d:aa
सम्भावनाओं	sam bhaa vaa naaoon
समझें	sa ma jhein
फ्राईस	phraaiis
पडे	pa dei
आधिरत	aa dhaa rit
सूचित	suu chit
ऊँगली	uun glii
तटस्थ	ta t:asth
गिराना	gi raa naa
बुरकिना	boo ra ki naa
गाँधीयन	gaa dhii yan
थकावट	tha kaa vat:
चलाकर	cha laa kar
पङा	pad:
पत्नियाँ	pat ni yaan
मठों	ma thoon
नवाजा	na vaa jaa
गीता	gii taa
सामाधान	sa maa dhaan
पपनड्रीयु	pa nap rii yu
बौद्धधर्मियों	baud dhadh dhar mi yoon
बँटे	ban t:ei
वॉइलेट	vaai leit:
लड़ती	lad: tii
उग्र	ugr
हेयरमार्केट	hei yar maar keit:
नीति	nii ti
शाहजहानाबाद	shhaah jaa na baad
लड़ते	lad: tei
तादाद	taa daad
हड़कंम	had: kamp
अनुदार	a nu daar
ज्ञानवर्धन	gyaan var dhan
रोने	roo nei
कम्पनियाँ	kam pa ni yaan
लाड़ले	laad: lei
हाऊस	haauus
जानलेवा	jaan lei vaa
मुद्रिका	mud ri kaa
जिन्होंने	jin hoo nei
आग्रह	aag rah
असहमति	a sa ha ma tii
रुज़वेल्ट	ru ja veilt:
हेलिकॉप्टर	hei li kaap t:ar
बौद्धधर्मी	baud dhar mii
निर्वासित	nir vaa sit
पंहुचा	pa hun chaa
भंग	bhang
दाँतों	daa toon
कठिनाईयाँ	ka t:hi naai yaan
वित्तमंत्री	vit ta man trii
घोंघा	ghoongh
उपजने	u paj nei
सेशन	sei shan
ध्वजारोहण	dhva jaa roo han:
नरसिम्हा	nar sim haa
राजधानी	raaj dhaa nii
दलितों	da li toon
प्रबंधकों	pra ban dha koon
निपटारा	nip t:aa raa
कलाम	ka laam
कमान	ka maan
ख्वाहिशें	khvaa hi shein
कलाप	ka laap
भिन्न	bhin na
रखती	rakh tii
फैले	phai lei
तीसरी	tiis rii
अलाव	a laav
सरल	sa ral
रहूंगा	ra huun gaa
तीसरे	tiis rei
फैली	phai lii
महत्वपूर्णं	ma hat va puur na
लीडरशिप	lii d:ar ship
बर्गसन	bar ga san
अलाप	a laap
वक्तव्यों	vak tav yoon
प्रेमकृष्ण	preik rxishhn:
एनर्जी	ei nar jii
द्रव्य	dravy
जंयती	jay ntii
पौधे	pau dhei
जल्द	jald
भेड़ियें	bhei d:i yei
महत्व	ma hatv
तारिणीं	taa ri nii
कमाल	ka maal
डट	d:at:
झड़प	jha d:ap
अप्स	aps
भुलाकर	bhu laa kar
बंगला	ban glaa
सॉलिड्स	saa lid:s
अबूझ	a buujh
फौरेस्ट	phau reist:
अलाई	a laaii
आचार्य	aa chaary
मुखारबिन्द	mu khaar bind
सहिष्णुता	sa hishh n:u taa
अपनाती	ap naa tii
मंच	manch
परसियन	par si yan
तोड़ें	too d:ein
अनुमति	a nu ma ti
डोनल्ड	d:oo naald:
तिलियाँ	ti li yaan
सीखता	siikh taa
पिल्लों	pil loon
गणराज्य	gan: raajy
पहुंचाना	pa hun cha naa
सिगार	si gaar
गुलदाना	gul daa naa
आसामी	aa saa mii
पर्दा	par daa
विकर्षणता	vik rxi shhan: taa
इन्हें	in hein
जात	jaat
विरासतों	vi raa sa toon
अतार्किक	a taar kik
जोड़ेगी	joo d:ein gii
छवियों	chha vi yoon
रसायनों	ra saay noon
सन्तान	san taan
इलेक्ट्रॉनिक्स	ei leik rxit nish
विज्ञप्ति	vig pat yi
चढ़ाव	cha d:haav
अध्यक्ष	adh yaakshh
नैनोमैटेरियल	nai noo mei t:i ri yal
तरफ़	ta raph
सन्यासी	san yaa sii
गोसैन	goo sain
भुगतेगी	bhug tei gii
मार्गरेट	maar ga reit:
राष्ट्पति	raashh t:ra pa ti
नीयत	nii yat
करोगे	ka roo gei
परवरिश	par va rish
मासूमियत	maa suu mi yat
जिज्ञासु	jig yaa su
सिलाई	si laaii
करे	ka rei
बुना	bu naa
नौकायन	nau kaa yan
कर्त्ताधर्ता	kar taa dhar taa
कोह	kooh
प्रो	proon
श्रद्धंजलि	shrad dhaan ja li
टूटी	t:uu t:ii
अन्तरराष्ट्रीय	an tar raash t:riiy
क्रमश	kra mash
प्रोटोस्टेट	proo t:eist:
वस्त्र	vastr
उतरने	u tar nei
गतिवधियों	ga ti vi dhi yoon
भागीदीरी	bhaa gii dii ri
क्लीनर	klii nar
रिकार्डस	
साँचा	saan chaa
फाल्के	phaal kei
निकोले	ni koo lei
सल्फाइड	sal phaaid:
मरे	ma rei
ढ़कने	d:hak nei
कड़वे	kad: vei
विजयघाट	vi jay ghaat:
मरी	ma rii
सैंग	saing
टब	t:ab
महाभारत	ma haa bhaa rat
न्यायिक	nyaa yik
पिज्जा	pij jaa
तीरअंदाजी	tii ran daa jii
रेडियम	rei d:i yam
समझौतापरस्ती	sa mau jha ta pa ras tii
पढ़ाने	pa d:haa nei
राजगुरू	raaj gu ruu
सज़ावट	sa jaa vat:
बिरयानी	bir yaa nii
जबावो	ja vaa boon
सामीप्य	saa miipy
बचाओं	ba chaauu
फरवरी	phar va rii
अतुलाम्	a tu laam
तैसे	tai sei
कारमाईकल	kaar maai kal
कमाई	ka maaii
सामयिक	saa ma yik
हार्मोन	haar moon
मिलाता	mi laa taa
प्रदा	par daa
भाइयों	bhaai yoon
फायदा	phaa ya daa
कुचलें	kuch lein
मलजल	mal jal
खुल	khul
सुविधानुसार	su vi dhaa nu saar
जरूरी	ja ruu rii
पाचन	paa chan
केवलअपने	kei va lap nei
पीसीएस	pii siieis
परम्पराएं	pa ram paa rein
रामो	raa moon
आलोक	aa look
पाण्डेय	paan d:eiy
सन्देहों	san dei hoon
भक्तगण	bhak ta gan:
महत्वहीन	ma hat va hiin
पर्यावरण	par yaa va ran:
विधायिका	vi dhaa yak
सुअर	suar
प्राप्तियों	praap ti yoon
मर्म	mar ma
मणी	ma n:ii
महत्वूर्ण	ma hat vpuurn:
ढ़ालते	d:haal tei
अनुसंधन	a nu san dhan
सिपाहियों	si paa hi yoon
अभिनंदन	a bhi nan dan
संरक्षणकारी	san rak shhan: kaa rii
अवक्षेपण	a vak shhei pan:
चुन	chun
चुप	chup
उत्साहवर्धक	ut sa haa var dhak
दयालुता	da yaa lu taa
सऊदी	sau dii
सर्फिंग	sar phing
तहत	ta hat
कौंसिल	kaun sil
समझो	sam jhoon
डरबन	d:ar ban
गिरफ्तारियाँ	gi raph taa ri yaan
करा	ka raa
मैनजीफेरा	mai nai jii phar
तत्व	tatv
लावें	laa vein
मियावाली	mi yaa vaa lii
अटकलें	at: ka lein
फेडरेशन	pheid: rei shan
ओलम्पिक	oo lam pik
प्रबुद्ध	pra buddh
विंग्स	vings
बुनना	bun naa
डाकिया	d:aa ki yaa
बंजारे	ban jaa rei
चढ़ाया	cha d:haa yaa
उत्साहवर्धन	ut sa ha vaar dhan
बहीखातों	ba hii khaa toon
शकुन्तला	sha kun ta laa
शासनकाल	shaa san kaal
कराईये	kar vaai yei
छाए	chhaaei
इम्युनो	im yu noon
कोयल	koo yal
कुतब	ku tab
जियोथर्मल	ji yoo thar mal
जीते	jii tei
केकड़ों	kei ka d:oon
कलमकारी	ka lam kaa rii
अछुता	a chhu taa
गतिविधियों	ga ti vi dhi yoon
पहुँची	pa hun chii
पहुँचे	pa hun chei
बर्ष	barshh
स्वीट्जरलैण्ड	sviit: jar laind:
पर	par
बर्न	bar na
छिलके	chhil kei
मूलभूत	muul bhuut
मिनटों	min t:oon
हनुमान	ha nu maan
अर्थ	arth
अर्ध	ardh
फेंके	phein kei
खानदान	khaan daan
डेनिस	d:ei nis
दुविधा	du vi dhaa
त्यागना	tyaag naa
उड़ाया	u d:aa yaa
गर्भावस्था	gar bha vas thaa
बेची	bei chii
साँस	saans
चाँदअमावश्या	chaan da maa vashy
पुर्नगठन	pu nar ga t:han
महर्षि	ma har shhi
शुरू	shu ruu
हाथों	haa thoon
देवत्व	dei vatv
सालगिरह	saal gi rah
गोविंद	goo vind
राहुल	raa hul
प्रर्दशन	pra dar shan
आधिकारिक	aa dhi kaa rik
बचें	ba chein
आत्मसात	aat ma saat
देखेगा	dei khei gaa
अन्तराल	an ta raal
बीपीएम	bii piieim
त्रिवानी	tri vaa nii
सामान्यतया	saa maan yat
छलकती	chha lak tii
इन्क्वायरी	in kvaayr
रामकृष्णनंदा	raa mak rxin: nan dan
पू्र्ण	puurn:
छलकते	chha lak tei
इससे	is sei
कुरान	ku raan
बीपीएल	bii piieil
मारे	maa rei
कब्र	kabr
हाईएट	haait:
ब्रह्मविद्यावादी	brxi ham vaa dii
दांया	daan yaa
बुजुर्गों	buj roo goon
दुअन्नी	du na
रेखा	rei khaa
सामंजस्य	saa man jasy
सूत्रिय	suut riy
नाट्यकार	naat: ya kaar
स्वीकारता	svii kaar taa
कब्ज	kabj
चित्रा	chit raa
रचना	rach naa
क्रेता	krei taa
रहिये	ra hi yei
कम्प्यूटर	kam pyuu t:ar
गुनहगार	gu nah gaar
जल	jal
प्रदोष	prxi doosh
उद्भव	ud bhav
मज़दूर	ma ja duur
चर्चों	char choon
हवा	ha vaa
बुरे	bu rei
आरोपों	aa roo poon
बुरी	bu rii
परीक्षा	pa riik shaa
प्रसन्नचित	pra san nchit
चकरा	chak raa
जबड़ों	jab d:oon
गायकवाड़	gaa yak vaad:
आत्मत्याग	aat mtyaag
उद्देश्यों	ud deish yoon
नलगौंदा	naal gaund
निकाले	ni kaa lei
प्रभुता	pra bhu taa
हवन	ha van
पाइप	paaip
एप	eip
स्वप्रतिज्ञा	svap ra tig yaa
मोड़ता	mood: taa
समझाना	sam jhaa naa
पर्यावरणविदों	par ya va ra nidv
दूसरी	duus rii
खोला	khoo laa
व्यग्र	vyagr
अविस्मरणीय	va si mar niy
नवरात्री	nav raat rii
दूसरे	duus rei
प्रमोशन	pra moo shan
प्रतिशोध	pra ti shoodh
टीएनसेशन	tei sha neis
दूसरो	duu sa roon
धनवंन्तरी	dhan van ta ri
पापो	paa poon
मक्के	mak kei
फूडप्रिंट	phuud: print:
ब्रह्मदत्त	brah ma datt
चुल्हा	chuul haa
प्रतिरोपित	pra ti roo pit
क्वेस्ट	kva seit:
मापता	maap taa
परख	pa rakh
डियोम	d:i yoom
बारह	baa rah
लूथेरन	luu thei ran
उन्होनें	un hoo nei
करई	ka rai
खेलने	kheil nei
आपस	aa pas
ओपिनियन	oo pi ni yan
अर्थों	ar thoon
हमने	ham nei
निष्ठावान	nish t:haa vaan
निश्चितरुप	ni shich tur
जोड़ती	jood: tii
करुणाजनक	ka ru n:a ja nak
सरकोजी	sar koo jii
उपासक	u paa sak
आकृष्ट	aak rxishht:
सपूत	sa puut
परम	pa ram
स्वीकारे	svii kaa rei
किट्स	kit:s
सर्जन	sar jan
सम्मानजनक	sam maan ja nak
परत	pa rat
कवितावली	ka vi tav lii
समझता	sa majh taa
निर्वाचन	nir vaa chan
बैज	baij
ऊत्तक	uut tak
खेलकर	kheil kar
जियाउद्दीन	ji yaaud diin
प्रगति	pra ga ti
समयपालक	sa may paa lak
कोचेरिल	koo chei ril
बैग	baig
बढ़ाना	ba d:haa naa
भेजते	bheij tei
शऊर	shauur
जुलाहा	ju laa haa
लाठी	laa thii
वायुशिफ	vaa yu shiph
चश्मदीद	chash ma diid
मुताबिक	mu taa bik
क्रीसेंट	krii seint:
बिखेरता	bi kheir taa
ट्यूब	t:yuub
रोहण	roo han:
परंपराओं	pa ram pa roon
प्रसंन्न	pra sann
बैल	bail
मूड़	muud:
व्यापारी	vyaa paa rii
बैन	bai na
रामचरितमानस	raa ma cha rit maa nas
वॉटर	vaa t:ar
खादों	khaa doon
फिरोज	phi rooj
थर्मल	thar mal
बैड	baid:
तहसील	tah siil
मिटाया	mi t:aa yaa
घटनाक्रम	ghat: naak ram
धर्मशाला	dhar mshaa la
तत्कालीन	tat kaa liin
दुकानदार	du kaan daar
ब्रश	brashsh
प्रदाता	pra daa taa
टीके	t:ii kei
अंतर	an tar
लक्षित	lak shhit
ग्रिडीरन	gri d:ii ran
विद्यावती	vid yaa va tii
निडरतापूर्वक	ni d:ar taa puur vak
अभिव्यक्त	a bhiv yak toon
लिएफिर	liei phir
अब्दुला	ab du laa
ब्रज	brajj
ह्दयघात	hrxia day ghaat
खूबियों	khuu bi yoon
त्रिनीनाद	tri ni daad
ढंग	d:hang
परिणय	pa ri n:ay
युद्ध	yuddh
सुशासन	su shaa san
खात्मा	khaat maa
गाँवबावलीजिलालायलपुरपंजाब	gaaaa va ni ba la laap rai ja na
अनुकरण	a nu ka ran:
घण्टें	ghan t:ei
लहराने	lah raa nei
आइकन	aai kan
इटरनेट	in t:ar neit:
उत्साहपूर्वक	ut saah puur vak
बॉलीवुड	baa lii vud:
विनोभा	vi noo bhaa
पीने	pii nei
असा	a saa
अकेलापन	a kei laa pan
असर	a sar
बागवानी	baag vaa nii
असल	a sal
आखकिरकार	aa khir kaar
प्रदूषक	pra duu shhak
एनएसएस	ei nei seis
संशोधित	san shoo dhit
डिलिवरी	d:i li va rii
चेतना	cheit naa
असम	a sam
वृद्धी	vrxid dhi
सीजन	sii jan
मैगजिन	maig jin
कांग्रेस	kaan greis
सुशीला	su shii laa
निष्ठापूर्ण	nishh t:haa puurn:
पीचोला	pii choo laa
प्याला	pyaa laa
सीराजगोपालचारी	srii raa ja goo paa laa chaa rii
राउँड	raaund:
पहुँचाये	pa hun chaa yei
अंन्त	a nant
ब्रौज	brauj
सीमा	sii maa
एवज	ei vaj
आयरलैंड	aa yar laind:
धुड़ीके	dhu d:i kei
यादें	yaa dein
वायरस	vaa ya ras
प्रदूषण	pra duu shan:
रसीले	ra sii lei
ब्राजील	braa jil
वायरल	vaay ral
स्तनधारियों	sta na dha ri yoon
मुखिया	mu khi yaa
ईथर	ei thar
दिवानों	di vaa noon
मेकअप	mei kap
भौंकना	bhaun knaa
वानिकी	vaa ni kii
हाइड्रेटेड	haaid: rei t:id:
दीनहीन	diin hiin
तीव्र	tiivr
दसवां	das vaan
दसवाँ	da sa vaan
ईस्वी	iis vii
बांये	baan yei
तथ्य	tathy
ब्लाव्टस्की	blv tstakei
विभाग	vi bhaag
दिलाई	di laaii
जैनी	jai nii
शेखर	shei khar
ट्राईपास	t:raaii pas
धुआं	dhuaan
बैरिस्टर	bai ris t:ar
जिन्दा	jin daa
सींग	siing
हजारी	ha jaa rii
भाभी	bhaa bhii
हजारो	ha jaa roon
खायी	khaa yii
राष्ट्रिपति	raashh t:ra pa tii
जैया	jaiy
खाये	khaa yei
अरविन्दों	a ra vin doon
स्कॉलर	skaa lar
मूलशंकर	muul shan kar
शांतिमय	shaan ti may
ठिकाना	thi kaa naa
स्टाईल	st:aail
पौंधें	paun dhei
जितेन्द्रियं	ji tein dri yoon
मुरीद	mu riid
आंकते	aan ktei
मौलवी	mau la vii
पेंशन	pein shan
अनुपालन	a nu paa lan
बीएससी	biieis sii
भक्त	bhakt
देखना	deikh naa
स्वगात	svaa gat
संयत्र	san yatr
धीमे	dhii mei
सालाना	saa laa naa
बेमतलब	bei mat lab
विद्यार्थी	vid yaar thii
बर्बादी	bar baa dii
चौथे	chau thei
चौथी	chau thii
सपने	sap nei
अस्थिबंधनों	as thi ban dha noon
होंगी	
बदला	bad laa
सुनें	su nein
दंगो	dan goon
पंखों	pan khoon
रिवाज	ri vaaj
रुढ़ीवाद	roo d:hi vaad
घटता	ghat: taa
टूटकर	t:uut: kar
अन्तर्जातीय	an tar jaa tiiy
ग्रेट	greit:
देहु	dei hu
खजूर	kha juur
पापड़	paa pad:
ग्रेग	greig
बैकऔर	bai kaur
अतुलित	a tu lit
अवकाश	a va kaash
बनता	ban taa
झूमने	jhuum nei
संश्लेषण	san shlei shhan:
आधरित	aa dhaa ri
टिकता	t:ik taa
लेथम	lei tham
ज़ीरादेई	jii raa dei
डिग्बी	d:ig bii
एमटीएनएल	eim t:iiei neil
अग्नि	ag ni
बंधंन	ban dhan
मूर्ख	muurkh
गैलिक	gai lik
पातन	paa tan
चौका	chau kaa
रैली	rai lii
ऐप्लिकेशन	eip li kei shan
शूली	shuu lii
टिप्पणियों	t:ip pa n:i yoon
गठबंधन	ga t:ha ban dhan
नैवेद्या	nai veidy
टिप्पणियों	t:ip pa n:i yoo
वैलेंटाईनस्	vei lan t:aains
तबीयत	ta bii yat
एससी	eis sii
घटनाओं	ghat: naaoon
नाचकर	naach kar
रहे	ra hei
ग्रेड	greid:
रही	ra hii
पाता	paa taa
पाति	paa ti
यंत्रों	yan troon
प्राधिकरणों	praa dhi ka ra n:oon
नवरत्न	nav ra tan
लेना	lei naa
नज़रिया	na ja ri yaa
षड़यन्त्र	shhad: yan tra
एचबी	eich bii
कुदरत	kud rat
बेडौल	bei d:aul
वायसराय	vaay sraay
यमराज	yam raaj
आदेशानुसार	aa dei shaa nu saar
विषमताएं	vi shham taaein
अदा	a daa
पटाखों	pa t:aa khoon
बेमिसाल	bei mi saal
लायेगा	laa yei gaa
रायसीना	raa ya sii naa
नानक	naa nak
फैल्यूकेट	phail yuu keit:
बतौर	ba taur
उठायेगें	u thaaein gei
थें	thein
शश्यश्यालालां	sha sha yaa lay
टीचर	t:ii char
तुमसे	tum sei
नाना	naa naa
ईलक्ट्रोनिक	i leik t:rau nik
हस्त	hast
चरित्र	cha ritr
अर्जेन्टीना	ar jein t:ii naa
कतारों	ka taa roon
अग्रणी	ag ra n:i
